simp_word,trad_word,freq,pinyin
经济带,經濟帶,29093,jing ji dai
向北,向北,29008,xiang bei
吉林省,吉林省,28944,ji lin sheng
党校,黨校,28584,dang xiao
首府,首府,28478,shou fu
看守所,看守所,28418,kan shou suo
古城,古城,28390,gu cheng
杭州市,杭州市,28011,hang zhou shi
美的,美的,27918,mei de
隶属,隸屬,27767,li shu
复旦大学,復旦大學,27663,fu dan da xue
中都,中都,27644,zhong dou
合肥市,合肥市,27520,he fei shi
天津市,天津市,27495,tian jin shi
总统府,總統府,27371,zong tong fu
城里,城裏,27193,cheng li
邮政,郵政,27090,you zheng
洛杉矶,洛杉磯,26953,luo shan ji
加油站,加油站,26435,jia you zhan
总工会,總工會,26166,zong gong hui
卫生厅,衛生廳,26149,wei sheng ting
黑龙江省,黑龍江省,26118,hei long jiang sheng
株洲,株洲,25882,zhu zhou
铁路局,鐵路局,25678,tie lu ju
青岛市,青島市,25247,qing dao shi
艺术学院,藝術學院,25040,yi shu xue yuan
消防支队,消防支隊,24615,xiao fang zhi dui
农贸市场,農貿市場,24505,nong mao shi chang
国资委,國資委,24451,guo zi wei
商业银行,商業銀行,24433,shang ye yin hang
万家,萬家,24221,wan jia
兰州市,蘭州市,24140,lan zhou shi
湘潭,湘潭,23562,xiang tan
中山大学,中山大學,23517,zhong shan da xue
草坪,草坪,23365,cao ping
安定,安定,22983,an ding
内蒙古自治区,內蒙古自治區,22882,nei meng gu zi zhi qu
园内,園內,22779,yuan nei
集成,集成,22431,ji cheng
新疆维吾尔自治区,新疆維吾爾自治區,22409,xin jiang wei wu er zi zhi qu
体育馆,體育館,22276,ti yu guan
省道,省道,22249,sheng dao
岳阳,岳陽,22210,yue yang
沈阳市,瀋陽市,22184,shen yang shi
珠江,珠江,21989,zhu jiang
立交桥,立交橋,21988,li jiao qiao
关口,關口,21984,guan kou
北美,北美,21980,bei mei
林业局,林業局,21924,lin ye ju
产业园区,產業園區,21786,chan ye yuan qu
发售,發售,21682,fa shou
菜市场,菜市場,21452,cai shi chang
动物园,動物園,21318,dong wu yuan
厂区,廠區,21238,chang qu
香港特区,香港特區,21215,xiang gang te qu
司法局,司法局,21100,si fa ju
高雄,高雄,20842,gao xiong
镇政府,鎮政府,20792,zhen zheng fu
海淀,海淀,20666,hai dian
长城,長城,20589,chang cheng
建委,建委,20495,jian wei
行政区,行政區,20475,xing zheng qu
森林公园,森林公園,20440,sen lin gong yuan
中韩,中韓,20216,zhong han
科学院,科學院,20186,ke xue yuan
三峡,三峽,20176,san xia
客运站,客運站,20038,ke yun zhan
昆明市,昆明市,19982,kun ming shi
台北市,臺北市,19961,tai bei shi
购物中心,購物中心,19834,gou wu zhong xin
岭南,嶺南,19727,ling nan
番禺,番禺,19678,pan yu
江北,江北,19566,jiang bei
管理学院,管理學院,19414,guan li xue yuan
大棚,大棚,19266,da peng
大河,大河,19257,da he
广西壮族自治区,廣西壯族自治區,18812,guang xi zhuang zu zi zhi qu
苏宁,蘇寧,18743,su ning
高山,高山,18735,gao shan
佛山市,佛山市,18579,fo shan shi
革新,革新,18544,ge xin
天桥,天橋,18543,tian qiao
中医院,中醫院,18488,zhong yi yuan
衡阳,衡陽,18318,heng yang
矿山,礦山,18213,kuang shan
美术馆,美術館,18199,mei shu guan
中山市,中山市,18081,zhong shan shi
小店,小店,17987,xiao dian
巴勒斯坦,巴勒斯坦,17725,ba le si tan
气象局,氣象局,17674,qi xiang ju
大山,大山,17600,da shan
剧院,劇院,17396,ju yuan
中心区,中心區,17375,zhong xin qu
南站,南站,17279,nan zhan
教学楼,教學樓,17273,jiao xue lou
福田,福田,17227,fu tian
二站,二站,17129,er zhan
执法局,執法局,17061,zhi fa ju
海底,海底,16986,hai di
殡仪馆,殯儀館,16914,bin yi guan
青海省,青海省,16869,qing hai sheng
东城,東城,16771,dong cheng
市里,市裏,16722,shi li
步行街,步行街,16648,bu xing jie
地税局,地稅局,16636,di shui ju
金陵,金陵,16536,jin ling
天河,天河,16406,tian he
桥下,橋下,16405,qiao xia
中国银行,中國銀行,16311,zhong guo yin hang
农业大学,農業大學,16285,nong ye da xue
沙漠,沙漠,16175,sha mo
大江,大江,16120,da jiang
汽车站,汽車站,16104,qi che zhan
矿产资源,礦產資源,16052,kuang chan zi yuan
也门,也門,16028,ye men
万里,萬里,15952,wan li
会展中心,會展中心,15936,hui zhan zhong xin
新疆生产建设兵团,新疆生產建設兵團,15930,xin jiang sheng chan jian she bing tuan
一中,一中,15734,yi zhong
湘江,湘江,15539,xiang jiang
故宫,故宮,15526,gu gong
西湖,西湖,15441,xi hu
长春市,長春市,15403,chang chun shi
消防中队,消防中隊,15373,xiao fang zhong dui
江汉,江漢,15263,jiang han
检查站,檢查站,15259,jian cha zhan
电站,電站,15247,dian zhan
台中,臺中,15226,tai zhong
体育场,體育場,15132,ti yu chang
污水处理厂,污水處理廠,15121,wu shui chu li chang
加工厂,加工廠,15091,jia gong chang
城内,城內,15039,cheng nei
残联,殘聯,15039,can lian
关上,關上,15023,guan shang
石家庄市,石家莊市,15012,shi jia zhuang shi
沙滩,沙灘,14977,sha tan
热带风暴,熱帶風暴,14891,re dai feng bao
医科大学,醫科大學,14882,yi ke da xue
安全局,安全局,14879,an quan ju
电影院,電影院,14843,dian ying yuan
温州市,溫州市,14825,wen zhou shi
邵阳,邵陽,14727,shao yang
住宅小区,住宅小區,14697,zhu zhai xiao qu
交通局,交通局,14607,jiao tong ju
敬老院,敬老院,14538,jing lao yuan
海口市,海口市,14466,hai kou shi
山林,山林,14452,shan lin
欧亚,歐亞,14443,ou ya
近海,近海,14438,jin hai
后门,後門,14401,hou men
公交车站,公交車站,14392,gong jiao che zhan
桥上,橋上,14382,qiao shang
桥面,橋面,14347,qiao mian
新风,新風,14270,xin feng
遗迹,遺蹟,14222,yi ji
国税局,國稅局,14219,guo shui ju
中心医院,中心醫院,14213,zhong xin yi yuan
军营,軍營,14187,jun ying
青山,青山,14075,qing shan
林地,林地,14033,lin di
武汉大学,武漢大學,14023,wu han da xue
东湖,東湖,14007,dong hu
南航,南航,13991,nan hang
北站,北站,13974,bei zhan
西城,西城,13914,xi cheng
黄埔,黃埔,13885,huang pu
西藏自治区,西藏自治區,13876,xi zang zi zhi qu
师范大学,師範大學,13874,shi fan da xue
中关村,中關村,13851,zhong guan cun
培训中心,培訓中心,13847,pei xun zhong xin
福利院,福利院,13812,fu li yuan
电厂,電廠,13703,dian chang
大门口,大門口,13653,da men kou
丰台,豐臺,13612,feng tai
儿童医院,兒童醫院,13398,er tong yi yuan
经开区,經開區,13380,jing kai qu
国土资源局,國土資源局,13376,guo tu zi yuan ju
南门,南門,13339,nan men
商业街,商業街,13202,shang ye jie
黎巴嫩,黎巴嫩,13150,li ba nen
阿联酋,阿聯酋,13105,a lian qiu
三甲,三甲,13082,san jia
三中,三中,13050,san zhong
滨江,濱江,13039,bin jiang
文化广场,文化廣場,13034,wen hua guang chang
开封,開封,13010,kai feng
海滨,海濱,12889,hai bin
城北,城北,12887,cheng bei
区委常委,區委常委,12795,qu wei chang wei
建设局,建設局,12744,jian she ju
新开,新開,12699,xin kai
南疆,南疆,12673,nan jiang
工商银行,工商銀行,12640,gong shang yin hang
北京师范大学,北京師範大學,12477,bei jing shi fan da xue
芦山,蘆山,12469,lu shan
法学院,法學院,12456,fa xue yuan
县级市,縣級市,12442,xian ji shi
惠农,惠農,12439,hui nong
渤海,渤海,12438,bo hai
大同,大同,12432,da tong
首都机场,首都機場,12423,shou du ji chang
珠海市,珠海市,12405,zhu hai shi
车管所,車管所,12345,che guan suo
东至,東至,12287,dong zhi
中和,中和,12259,zhong he
西站,西站,12225,xi zhan
供电公司,供電公司,12130,gong dian gong si
展览馆,展覽館,12092,zhan lan guan
福州市,福州市,12045,fu zhou shi
东站,東站,12036,dong zhan
农业局,農業局,12027,nong ye ju
大坝,大壩,12006,da ba
交通大学,交通大學,11982,jiao tong da xue
城郊,城郊,11922,cheng jiao
教育考试院,教育考試院,11918,jiao yu kao shi yuan
团市委,團市委,11907,tuan shi wei
村口,村口,11895,cun kou
四楼,四樓,11894,si lou
安监局,安監局,11790,an jian ju
体育中心,體育中心,11741,ti yu zhong xin
增城,增城,11734,zeng cheng
公交公司,公交公司,11691,gong jiao gong si
南昌市,南昌市,11652,nan chang shi
西岸,西岸,11639,xi an
农林,農林,11600,nong lin
宁波市,寧波市,11555,ning bo shi
南京大学,南京大學,11431,nan jing da xue
医学院,醫學院,11427,yi xue yuan
前海,前海,11384,qian hai
台湾海峡,臺灣海峽,11366,tai wan hai xia
宜宾,宜賓,11339,yi bin
长治,長治,11334,zhang zhi
罗湖,羅湖,11301,luo hu
急救中心,急救中心,11287,ji jiu zhong xin
三亚市,三亞市,11266,san ya shi
科技园,科技園,11200,ke ji yuan
岳阳市,岳陽市,11162,yue yang shi
果园,果園,11117,guo yuan
九江,九江,11071,jiu jiang
香港特别行政区,香港特別行政區,11061,xiang gang te bie xing zheng qu
芜湖,蕪湖,11028,wu hu
台南,臺南,11022,tai nan
惠州市,惠州市,11002,hui zhou shi
城南,城南,11001,cheng nan
巷子,巷子,10965,xiang zi
山下,山下,10962,shan xia
佛罗里达州,佛羅里達州,10913,fu luo li da zhou
哈尔滨市,哈爾濱市,10831,ha er bin shi
贵阳市,貴陽市,10807,gui yang shi
运河,運河,10801,yun he
八一,八一,10799,ba yi
南美,南美,10718,nan mei
植物园,植物園,10551,zhi wu yuan
房山,房山,10544,fang shan
消防局,消防局,10456,xiao fang ju
乡政府,鄉政府,10427,xiang zheng fu
东门,東門,10426,dong men
国家工商总局,國家工商總局,10409,guo jia gong shang zong ju
丝路,絲路,10402,si lu
分店,分店,10353,fen dian
水厂,水廠,10353,shui chang
龙华,龍華,10345,long hua
夏威夷,夏威夷,10321,xia wei yi
绍兴,紹興,10307,shao xing
公墓,公墓,10265,gong mu
株洲市,株洲市,10230,zhu zhou shi
交通银行,交通銀行,10229,jiao tong yin hang
虹桥,虹橋,10198,hong qiao
湘潭市,湘潭市,10198,xiang tan shi
邮局,郵局,10169,you ju
北路,北路,10151,bei lu
呼和浩特市,呼和浩特市,10137,hu he hao te shi
越秀,越秀,10112,yue xiu
消防队,消防隊,10099,xiao fang dui
沃尔玛,沃爾瑪,10087,wo er ma
北门,北門,10070,bei men
建行,建行,10024,jian hang
远洋,遠洋,9861,yuan yang
人才市场,人才市場,9830,ren cai shi chang
水电站,水電站,9830,shui dian zhan
大胜,大勝,9807,da sheng
江边,江邊,9805,jiang bian
房地产公司,房地產公司,9790,fang di chan gong si
税务局,稅務局,9785,shui wu ju
苏州市,蘇州市,9747,su zhou shi
深山,深山,9737,shen shan
建筑设计,建築設計,9730,jian zhu she ji
洛阳市,洛陽市,9707,luo yang shi
在城镇,在城鎮,9697,zai cheng zhen
清远市,清遠市,9631,qing yuan shi
深港,深港,9581,shen gang
新天地,新天地,9558,xin tian di
宁夏回族自治区,寧夏回族自治區,9555,ning xia hui zu zi zhi qu
文化馆,文化館,9549,wen hua guan
自治州,自治州,9495,zi zhi zhou
建设银行,建設銀行,9476,jian she yin hang
东边,東邊,9427,dong bian
三区,三區,9393,san qu
市教委,市教委,9374,shi jiao wei
农行,農行,9299,nong hang
屋子里,屋子裏,9287,wu zi li
山脚,山腳,9265,shan jiao
工行,工行,9206,gong hang
钱江,錢江,9171,qian jiang
实验小学,實驗小學,9163,shi yan xiao xue
银川市,銀川市,9086,yin chuan shi
石油公司,石油公司,9080,shi you gong si
天安门广场,天安門廣場,9080,tian an men guang chang
家乐福,家樂福,9068,jia le fu
市工商局,市工商局,9015,shi gong shang ju
桥头,橋頭,8984,qiao tou
泵站,泵站,8966,beng zhan
沿河,沿河,8947,yan he
同济大学,同濟大學,8935,tong ji da xue
变电站,變電站,8922,bian dian zhan
义乌,義烏,8916,yi wu
水井,水井,8915,shui jing
三市,三市,8904,san shi
稻田,稻田,8899,dao tian
县公安局,縣公安局,8898,xian gong an ju
扶贫办,扶貧辦,8860,fu pin ban
高雄市,高雄市,8829,gao xiong shi
火山,火山,8792,huo shan
实验学校,實驗學校,8774,shi yan xue xiao
科技馆,科技館,8751,ke ji guan
厦门市,廈門市,8701,xia men shi
实验中学,實驗中學,8654,shi yan zhong xue
南城,南城,8645,nan cheng
菜地,菜地,8623,cai di
南湖,南湖,8618,nan hu
山头,山頭,8569,shan tou
南区,南區,8552,nan qu
丰盛,豐盛,8532,feng sheng
台前,臺前,8513,tai qian
中心小学,中心小學,8488,zhong xin xiao xue
维吾尔族,維吾爾族,8425,wei wu er zu
西门,西門,8415,xi men
城中,城中,8392,cheng zhong
华润,華潤,8360,hua run
第二人民医院,第二人民醫院,8348,di er ren min yi yuan
泰山,泰山,8332,tai shan
道口,道口,8328,dao kou
生活区,生活區,8303,sheng huo qu
附中,附中,8237,fu zhong
商务局,商務局,8218,shang wu ju
山坡上,山坡上,8193,shan po shang
美术学院,美術學院,8170,mei shu xue yuan
墨尔本,墨爾本,8152,mo er ben
度假村,度假村,8137,du jia cun
外国语学校,外國語學校,8097,wai guo yu xue xiao
西太平洋,西太平洋,8072,xi tai ping yang
站前,站前,8043,zhan qian
华中科技大学,華中科技大學,8017,hua zhong ke ji da xue
市检察院,市檢察院,8003,shi jian cha yuan
大连市,大連市,7993,da lian shi
地震局,地震局,7988,di zhen ju
外滩,外灘,7933,wai tan
特拉维夫,特拉維夫,7915,te la wei fu
雅安市,雅安市,7888,ya an shi
牧场,牧場,7856,mu chang
自来水公司,自來水公司,7833,zi lai shui gong si
河堤,河堤,7820,he di
创新中心,創新中心,7819,chuang xin zhong xin
承德,承德,7801,cheng de
澳门特别行政区,澳門特別行政區,7800,ao men te bie xing zheng qu
迎春,迎春,7772,ying chun
前门,前門,7755,qian men
二中,二中,7753,er zhong
省委党校,省委黨校,7744,sheng wei dang xiao
丰满,豐滿,7740,feng man
牡丹,牡丹,7739,mu dan
黑马,黑馬,7738,hei ma
湖边,湖邊,7711,hu bian
大水,大水,7705,da shui
邵阳市,邵陽市,7681,shao yang shi
湖畔,湖畔,7674,hu pan
江门市,江門市,7672,jiang men shi
后院,後院,7660,hou yuan
茶园,茶園,7645,cha yuan
证券公司,證券公司,7644,zheng quan gong si
建筑公司,建築公司,7631,jian zhu gong si
民建,民建,7625,min jian
集贸市场,集貿市場,7603,ji mao shi chang
北岸,北岸,7602,bei an
中南大学,中南大學,7589,zhong nan da xue
舟山,舟山,7581,zhou shan
邮政局,郵政局,7569,you zheng ju
化工厂,化工廠,7562,hua gong chang
城东,城東,7560,cheng dong
二环路,二環路,7554,er huan lu
桥墩,橋墩,7544,qiao dun
清真寺,清真寺,7491,qing zhen si
创业园,創業園,7470,chuang ye yuan
得克萨斯州,得克薩斯州,7468,de ke sa si zhou
张家界市,張家界市,7446,zhang jia jie shi
市总工会,市總工會,7444,shi zong gong hui
纽约州,紐約州,7439,niu yue zhou
沙坪坝,沙坪壩,7434,sha ping ba
泥沙,泥沙,7427,ni sha
省辖市,省轄市,7400,sheng xia shi
城西,城西,7392,cheng xi
暨南大学,暨南大學,7377,ji nan da xue
田里,田裏,7374,tian li
老城,老城,7351,lao cheng
南开大学,南開大學,7329,nan kai da xue
楼里,樓裏,7303,lou li
富士康,富士康,7272,fu shi kang
省军区,省軍區,7269,sheng jun qu
台中市,臺中市,7252,tai zhong shi
葫芦,葫蘆,7244,hu lu
洼地,窪地,7217,wa di
检测中心,檢測中心,7192,jian ce zhong xin
管理站,管理站,7180,guan li zhan
苗族,苗族,7173,miao zu
经济学院,經濟學院,7165,jing ji xue yuan
中兴,中興,7162,zhong xing
省物价局,省物價局,7150,sheng wu jia ju
密云,密雲,7143,mi yun
新街口,新街口,7139,xin jie kou
中山路,中山路,7135,zhong shan lu
华龙,華龍,7129,hua long
南郊,南郊,7101,nan jiao
四中,四中,7080,si zhong
第一医院,第一醫院,7066,di yi yi yuan
汕头市,汕頭市,7054,shan tou shi
山城,山城,7036,shan cheng
下院,下院,7012,xia yuan
颐和园,頤和園,7003,yi he yuan
常州市,常州市,6954,chang zhou shi
常德市,常德市,6936,chang de shi
斜坡,斜坡,6929,xie po
交大,交大,6924,jiao da
永州市,永州市,6921,yong zhou shi
路桥,路橋,6906,lu qiao
公馆,公館,6897,gong guan
设计院,設計院,6896,she ji yuan
郴州市,郴州市,6872,chen zhou shi
萧山,蕭山,6822,xiao shan
建校,建校,6821,jian xiao
南宁市,南寧市,6809,nan ning shi
衡阳市,衡陽市,6803,heng yang shi
后曾,後曾,6787,hou ceng
珠江新城,珠江新城,6784,zhu jiang xin cheng
泉水,泉水,6780,quan shui
舟曲,舟曲,6759,zhou qu
训练基地,訓練基地,6754,xun lian ji di
供电局,供電局,6735,gong dian ju
王府井,王府井,6720,wang fu jing
国际会议中心,國際會議中心,6717,guo ji hui yi zhong xin
轮渡,輪渡,6712,lun du
小道,小道,6699,xiao dao
劳动力市场,勞動力市場,6692,lao dong li shi chang
妇幼保健院,婦幼保健院,6677,fu you bao jian yuan
医疗中心,醫療中心,6673,yi liao zhong xin
洞口,洞口,6660,dong kou
小岛,小島,6656,xiao dao
绿洲,綠洲,6634,lv zhou
北京站,北京站,6606,bei jing zhan
造纸,造紙,6590,zao zhi
广袤,廣袤,6584,guang mao
东段,東段,6562,dong duan
加利福尼亚州,加利福尼亞州,6562,jia li fu ni ya zhou
闵行,閔行,6556,min xing
市人民政府,市人民政府,6553,shi ren min zheng fu
大洲,大洲,6545,da zhou
三环路,三環路,6540,san huan lu
内都,內都,6536,nei dou
协和医院,協和醫院,6485,xie he yi yuan
海港,海港,6484,hai gang
国美,國美,6478,guo mei
烈士陵园,烈士陵園,6477,lie shi ling yuan
墓葬,墓葬,6466,mu zang
怀化市,懷化市,6463,huai hua shi
下坡,下坡,6459,xia po
徐州市,徐州市,6450,xu zhou shi
楼前,樓前,6434,lou qian
人民大学,人民大學,6426,ren min da xue
南坪,南坪,6408,nan ping
新北,新北,6403,xin bei
市委党校,市委黨校,6384,shi wei dang xiao
解放路,解放路,6382,jie fang lu
边检站,邊檢站,6365,bian jian zhan
牌坊,牌坊,6360,pai fang
西洋,西洋,6341,xi yang
公证处,公證處,6325,gong zheng chu
徐家汇,徐家彙,6317,xu jia hui
人民广场,人民廣場,6315,ren min guang chang
县医院,縣醫院,6282,xian yi yuan
遵义,遵義,6279,zun yi
西郊,西郊,6273,xi jiao
娄底市,婁底市,6270,lou di shi
肿瘤医院,腫瘤醫院,6269,zhong liu yi yuan
咸阳市,咸陽市,6266,xian yang shi
伊犁,伊犁,6234,yi li
科技局,科技局,6220,ke ji ju
新华书店,新華書店,6217,xin hua shu dian
自治县,自治縣,6198,zi zhi xian
东岸,東岸,6141,dong an
高尔夫球场,高爾夫球場,6139,gao er fu qiu chang
万州,萬州,6132,wan zhou
东北角,東北角,6122,dong bei jiao
榆林市,榆林市,6106,yu lin shi
无锡市,無錫市,6105,wu xi shi
师大,師大,6081,shi da
北京西站,北京西站,6048,bei jing xi zhan
浦口,浦口,6032,pu kou
包头市,包頭市,6008,bao tou shi
陵园,陵園,5999,ling yuan
国防大学,國防大學,5995,guo fang da xue
技校,技校,5994,ji xiao
利比里亚,利比里亞,5993,li bi li ya
东南大学,東南大學,5990,dong nan da xue
宁乡,寧鄉,5984,ning xiang
宝鸡市,寶雞市,5950,bao ji shi
坪山,坪山,5947,ping shan
少年宫,少年宮,5934,shao nian gong
北疆,北疆,5931,bei jiang
中澳,中澳,5907,zhong ao
中行,中行,5907,zhong hang
陆家嘴,陸家嘴,5906,lu jia zui
滨海新区,濱海新區,5900,bin hai xin qu
石油化工,石油化工,5881,shi you hua gong
