simp_word,trad_word,freq,pinyin
虫媒传染,蟲媒傳染,863,chong mei chuan ran
灵长目动物,靈長目動物,862,ling zhang mu dong wu
蚿,蚿,862,xian
黄占,黃佔,850,huang zhan
赤眼蜂,赤眼蜂,839,chi yan feng
营养性疾病,營養性疾病,837,ying yang xing ji bing
鮀,鮀,836,tuo
兀龙,兀龍,834,wu long
回声定位,回聲定位,833,hui sheng ding wei
紫印,紫印,826,zi yin
叫姑姑,叫姑姑,825,jiao gu gu
闭壳龟,閉殼龜,824,bi ke gui
中猴,中猴,818,zhong hou
樱桃谷鸭,櫻桃谷鴨,816,ying tao gu ya
鱼浆,魚漿,814,yu jiang
迎燕,迎燕,812,ying yan
漏芦,漏蘆,811,lou lu
星虫,星蟲,806,xing chong
泉龙,泉龍,804,quan long
毛霉,毛黴,803,mao mei
喜乐蒂牧羊犬,喜樂蒂牧羊犬,798,xi le di mu yang quan
植龙,植龍,797,zhi long
菌体蛋白,菌體蛋白,796,jun ti dan bai
牵牛子,牽牛子,792,qian niu zi
四值,四值,791,si zhi
灯蛾,燈蛾,787,deng e
杂骨,雜骨,781,za gu
黑漂,黑漂,765,hei piao
朗德鹅,朗德鵝,761,lang de e
裂殖,裂殖,757,lie zhi
远程鸽,遠程鴿,747,yuan cheng ge
肉驴,肉驢,745,rou lv
台湾牛,臺灣牛,741,tai wan niu
长毛猫,長毛貓,735,chang mao mao
角甲,角甲,733,jiao jia
猎狐犬,獵狐犬,731,lie hu quan
硬鳞,硬鱗,729,ying lin
狮子滚绣球,獅子滾繡球,727,shi zi gun xiu qiu
沙苑子,沙苑子,726,sha yuan zi
鱼胶原蛋白,魚膠原蛋白,725,yu jiao yuan dan bai
钱串子,錢串子,725,qian chuan zi
威尔士柯基,威爾士柯基,721,wei er shi ke ji
动物克隆,動物克隆,706,dong wu ke long
转节,轉節,703,zhuan jie
外套膜,外套膜,702,wai tao mo
毛冠鹿,毛冠鹿,701,mao guan lu
冠毛犬,冠毛犬,694,guan mao quan
印随,印隨,693,yin sui
夜行性动物,夜行性動物,692,ye xing xing dong wu
偶蹄动物,偶蹄動物,688,ou ti dong wu
乾泰,乾泰,680,qian tai
珍菊降压片,珍菊降壓片,673,zhen ju jiang ya pian
新疆虎,新疆虎,668,xin jiang hu
南猿,南猿,665,nan yuan
恐龙足迹,恐龍足跡,659,kong long zu ji
牡鹿,牡鹿,659,mu lu
岩鸽,巖鴿,656,yan ge
蒙古草原狼,蒙古草原狼,653,meng gu cao yuan lang
英国古代牧羊犬,英國古代牧羊犬,647,ying guo gu dai mu yang quan
灰鲸,灰鯨,644,hui jing
苏格兰折耳猫,蘇格蘭摺耳貓,644,su ge lan zhe er mao
玳玳花,玳玳花,644,dai dai hua
莽牯朱蛤,莽牯朱蛤,641,mang gu zhu ha
滑子蘑,滑子蘑,637,hua zi mo
空肠弯曲菌,空腸彎曲菌,635,kong chang wan qu jun
小瓜虫,小瓜蟲,633,xiao gua chong
杂食性动物,雜食性動物,633,za shi xing dong wu
鹿科动物,鹿科動物,629,lu ke dong wu
魔蜥,魔蜥,628,mo xi
蚦,蚦,628,ran
毛翅,毛翅,628,mao chi
椰心叶甲,椰心葉甲,625,ye xin ye jia
黑犀牛,黑犀牛,623,hei xi niu
檞寄生,檞寄生,621,jie ji sheng
喹乙醇,喹乙醇,616,kui yi chun
披毛犀,披毛犀,615,pi mao xi
分蜂,分蜂,614,fen feng
根霉,根黴,613,gen mei
两栖爬行动物,兩棲爬行動物,609,liang qi pa xing dong wu
钓鱼岛列岛,釣魚島列島,605,diao yu dao lie dao
食虫植物,食蟲植物,592,shi chong zhi wu
嗜盐菌,嗜鹽菌,590,shi yan jun
印支虎,印支虎,580,yin zhi hu
纽芬兰犬,紐芬蘭犬,579,niu fen lan quan
亚单位疫苗,亞單位疫苗,577,ya dan wei yi miao
腔棘鱼,腔棘魚,575,qiang ji yu
台湾石,臺灣石,567,tai wan shi
幽蝶,幽蝶,565,you die
有袋类,有袋類,565,you dai lei
威尔士柯基犬,威爾士柯基犬,563,wei er shi ke ji quan
几维,幾維,559,ji wei
猫爪草,貓爪草,555,mao zhao cao
铅丹,鉛丹,554,qian dan
赤潮生物,赤潮生物,553,chi chao sheng wu
榛鸡,榛雞,550,zhen ji
恐龙脚印,恐龍腳印,550,kong long jiao yin
水墨黑,水墨黑,550,shui mo hei
恒温动物,恆溫動物,549,heng wen dong wu
媒介生物,媒介生物,545,mei jie sheng wu
脑脊髓液,腦脊髓液,541,nao ji sui ye
鮟鱇,鮟鱇,541,an kang
布偶猫,布偶貓,539,bu ou mao
偶蹄类,偶蹄類,537,ou ti lei
车轮虫,車輪蟲,531,che lun chong
露脊鲸,露脊鯨,530,lu ji jing
石苇,石葦,528,shi wei
施计谋,施計謀,526,shi ji mou
美利奴羊,美利奴羊,520,mei li nu yang
犬瘟热病毒,犬瘟熱病毒,518,quan wen re bing du
三叶虫化石,三葉蟲化石,516,san ye chong hua shi
胃毒作用,胃毒作用,506,wei du zuo yong
英国斗牛犬,英國鬥牛犬,505,ying guo dou niu quan
雄蚕蛾,雄蠶蛾,504,xiong can e
海刺参,海刺蔘,503,hai ci can
茺蔚子,茺蔚子,502,chong wei zi
俞君英,俞君英,499,yu jun ying
小杜鹃,小杜鵑,493,xiao du juan
山东省海洋与渔业厅,山東省海洋與漁業廳,487,shan dong sheng hai yang yu yu ye ting
喹烯酮,喹烯酮,483,kui xi tong
独角犀牛,獨角犀牛,482,du jiao xi niu
野牛草,野牛草,479,ye niu cao
鱼医,魚醫,478,yu yi
灰蝶,灰蝶,478,hui die
大骨鸡,大骨雞,475,da gu ji
小萨摩,小薩摩,470,xiao sa mo
闲角,閒角,468,xian jiao
新城疫病毒,新城疫病毒,468,xin cheng yi bing du
冠鹤,冠鶴,464,guan he
疟蚊,瘧蚊,464,nve wen
脚圈,腳圈,456,jiao quan
中国小鲵,中國小鯢,453,zhong guo xiao ni
枪猎犬,槍獵犬,451,qiang lie quan
自贡恐龙博物馆,自貢恐龍博物館,449,zi gong kong long bo wu guan
孢子虫病,孢子蟲病,444,bao zi chong bing
商品鹅,商品鵝,442,shang pin e
鹿衔草,鹿銜草,442,lu xian cao
眼虫,眼蟲,440,yan chong
摇蚊,搖蚊,439,yao wen
保洁净,保潔淨,426,bao jie jing
闭壳肌,閉殼肌,419,bi ke ji
偶蹄目,偶蹄目,419,ou ti mu
窄谱,窄譜,417,zhai pu
晶体敌百虫,晶體敵百蟲,415,jing ti di bai chong
牛蝇,牛蠅,413,niu ying
潜叶蝇,潛葉蠅,408,qian ye ying
岗梅,崗梅,408,gang mei
迷你杜宾,迷你杜賓,405,mi ni du bin
防止虐待动物协会,防止虐待動物協會,404,fang zhi nve dai dong wu xie hui
中国猫,中國貓,403,zhong guo mao
法国斗牛犬,法國鬥牛犬,398,fa guo dou niu quan
苏格兰梗,蘇格蘭梗,398,su ge lan geng
梅花鹿之乡,梅花鹿之鄉,398,mei hua lu zhi xiang
中华对角羚,中華對角羚,398,zhong hua dui jiao ling
长江水产研究所,長江水產研究所,396,chang jiang shui chan yan jiu suo
贝希摩斯,貝希摩斯,396,bei xi mo si
椰子蟹,椰子蟹,395,ye zi xie
盐酸金刚烷胺,鹽酸金剛烷胺,394,yan suan jin gang wan an
山地大猩猩,山地大猩猩,393,shan di da xing xing
小尾寒羊养殖,小尾寒羊養殖,393,xiao wei han yang yang zhi
牦牛毛,犛牛毛,391,mao niu mao
贾第虫,賈第蟲,387,jia di chong
苏柏羊齿,蘇柏羊齒,384,su bai yang chi
清江鱼,清江魚,384,qing jiang yu
山羌,山羌,380,shan qiang
鮠,鮠,379,wei
中国冠毛犬,中國冠毛犬,374,zhong guo guan mao quan
感觉管,感覺管,374,gan jue guan
牛鲨,牛鯊,373,niu sha
灵枢经,靈樞經,373,ling shu jing
鸻,鴴,370,heng
全虾,全蝦,366,quan xia
高效氯氰菊酯,高效氯氰菊酯,365,gao xiao lv qing ju zhi
拳参,拳參,364,quan can
占有面积,佔有面積,364,zhan you mian ji
小膜,小膜,361,xiao mo
蠪侄,蠪侄,357,long zhi
超远程鸽,超遠程鴿,355,chao yuan cheng ge
养鱼经,養魚經,354,yang yu jing
陆生脊椎动物,陸生脊椎動物,352,lu sheng ji zhui dong wu
蠵,蠵,351,xi
指狗,指狗,350,zhi gou
昆虫病毒,昆蟲病毒,350,kun chong bing du
全息胚,全息胚,349,quan xi pei
澳大利亚更,澳大利亞更,347,ao da li ya geng
栉孔扇贝,櫛孔扇貝,345,zhi kong shan bei
舟蛾,舟蛾,342,zhou e
蓝喜鹊,藍喜鵲,337,lan xi que
清远麻鸡,清遠麻雞,337,qing yuan ma ji
窃蛋龙,竊蛋龍,333,qie dan long
短尾猿,短尾猿,325,duan wei yuan
迟发型变态反应,遲髮型變態反應,323,chi fa xing bian tai fan ying
眼蝶,眼蝶,323,yan die
转基因猪,轉基因豬,322,zhuan ji yin zhu
野木瓜,野木瓜,322,ye mu gua
恐龙足迹化石,恐龍足跡化石,321,kong long zu ji hua shi
洋杜鹃,洋杜鵑,319,yang du juan
恐怖虫,恐怖蟲,318,kong bu chong
世界动物日,世界動物日,317,shi jie dong wu ri
前胸背板,前胸背板,315,qian xiong bei ban
水稻病虫害防治,水稻病蟲害防治,311,shui dao bing chong hai fang zhi
牛科动物,牛科動物,308,niu ke dong wu
瓣胃,瓣胃,300,ban wei
蠵龟,蠵龜,299,xi gui
高位奖,高位獎,299,gao wei jiang
白颊长臂猿,白頰長臂猿,299,bai jia chang bi yuan
孤雌生殖,孤雌生殖,296,gu ci sheng zhi
新灰,新灰,293,xin hui
鹰眼睛,鷹眼睛,290,ying yan jing
